id,name,artist,genres,link,img_link,mc_rating,usr_rating
b5882afd-8a6f-44a7-b49c-f2b5c4dcec96,The Massacre,50 Cent,{Rap},/music/the-massacre/50-cent,http://static.metacritic.com/images/products/music/8/0e3c20ce8bbe0b72dac800ea57727063-98.jpg,66,5.3
ad982c40-f769-45bb-8a3c-def2752dfb69,Curtis,50 Cent,{Rap},/music/curtis/50-cent,http://static.metacritic.com/images/products/music/1/27a83eb7fd62b761e0c8d53e553c5f3b-98.jpg,58,3.8
bd7d5435-3afa-46b5-8615-16ea1dca1237,Before I Self Destruct,50 Cent,{Rap},/music/before-i-self-destruct/50-cent,http://static.metacritic.com/images/products/music/1/9d4161599fdbbda195fa479b2f33db9a-98.jpg,62,7
dba69b8a-1f5c-419e-9490-a002cd990d9f,Animal Ambition: An Untamed Desire to Win,50 Cent,"{Rap,Pop/Rock}",/music/animal-ambition-an-untamed-desire-to-win/50-cent,http://static.metacritic.com/images/products/music/2/d7e5c439eb16eabdd0aa942de8dbf33a-98.jpg,53,5.9
efee9cc7-63a7-47c3-a986-2707c1f0fe40,Golden Ocean,50 Foot Wave,"{Indie,Rock}",/music/golden-ocean/50-foot-wave,http://static.metacritic.com/images/products/music/4/4f96575f732d5d56fc6361e0215d0345-98.jpg,76,8.5
a6013244-7ac4-4533-8db0-94bbfa44ec01,Wild Light,65daysofstatic,"{Pop/Rock,'"Alternative/Indie Rock'"}",/music/wild-light/65daysofstatic,http://static.metacritic.com/images/products/music/5/087ea38f20774c420e414295ea9a8341-98.jpg,82,7.6
fbf09e91-cc43-45f1-8076-ed68e7eeaa83,No Man's Sky: Music for an Infinite Universe [Original Video Game Soundtrack],65daysofstatic,"{Soundtracks,'"Stage & Screen'",'"Video Game Music'"}",/music/no-mans-sky-music-for-an-infinite-universe-original-video-game-soundtrack/65daysofstatic,http://static.metacritic.com/images/products/music/3/be8742df96687e14fd9fbd7a9662ce12-98.jpg,81,8.2
2e996fe0-5bc9-4901-8952-13f7b692bcfe,7 Days of Funk,7 Days of Funk,"{Rap,R&B,Soul}",/music/7-days-of-funk/7-days-of-funk,http://static.metacritic.com/images/products/music/8/bb632323dfaf9691af9b69b399863f26-98.jpg,74,7.3
be3a1f01-8eaf-402d-9c15-5773a92da7b5,The Sun Came Out,7 Worlds Collide,"{Rock,Alternative}",/music/the-sun-came-out/7-worlds-collide,http://static.metacritic.com/images/products/music/4/f9f68636aacfb1ed1124e9ef3b5f9102-98.jpg,73,
a43817fd-dd92-47e7-bbdc-c022e4e35f35,Wood/Metal/Plastic/Pattern/Rhythm/Rock,75 Dollar Bill,{Pop/Rock},/music/woodmetalplasticpatternrhythmrock/75-dollar-bill,http://static.metacritic.com/images/products/music/9/b9eb0dfc2eccf7cd84819e1607bf51a8-98.jpg,90,
8b097415-904a-4d60-a593-da854ca5b063,Weekends of Sound,764-Hero,"{Indie,Rock,Alternative}",/music/weekends-of-sound/764-hero,http://static.metacritic.com/images/products/music/7/2ba830585705bee4cf264320d2468e67-98.jpg,,
0b12c2bb-9c2b-4f2a-b353-0ac171324e8e,Nobody Knows This Is Everywhere,764-Hero,"{Indie,Rock}",/music/nobody-knows-this-is-everywhere/764-hero,http://static.metacritic.com/images/products/music/7/c95deb87d869db1b3d89953692fb2173-98.jpg,74,
5084db4a-9b21-4ade-bf83-5967b9635966,Czarface,7L,"{Rap,Pop/Rock}",/music/czarface/inspectah-deck,http://static.metacritic.com/images/products/music/3/2cb0b15aa09dadee48e96a00add91a47-98.jpg,77,8.2
0f0bb8ad-3f69-45f5-93a2-2c1781618ae8,OST,8 Mile (Eminem),"{Rap,Soundtrack}",/music/ost/8-mile-eminem,http://static.metacritic.com/images/products/music/6/9096f97ceb4ac1c8295b610e761e10cc-98.jpg,74,8.1
eb1a6060-4a68-4d85-856d-89a318ac0921,Panda Park,90 Day Men,"{Indie,Rock}",/music/panda-park/90-day-men,http://static.metacritic.com/images/products/music/6/17a65b19ef541791945f878250d0a8c8-98.jpg,82,
cc06205e-a629-4373-a629-38975e44f0cd,Revelation,98 Degrees,{Pop},/music/revelation/98-degrees,http://static.metacritic.com/images/products/music/6/d6e00767f3878ea1366c049a4605e365-98.jpg,57,
